study,title,condition.variable,condition.value,condition.name,condition.text,blurb,Exclude,Manipulation_includes_question_1yes_2outcome,Notes
Silverman1035,Can Factual Misperceptions be Corrected? An Experiment on American Public Fears of Terrorism,P_TESS031,4,"Treatment 3: Corrective Information, Republican Endorsement","New Poll Finds Rising Fears of Terrorism Nationwide</u>
[SPACE]
The number of people who say that acts of terrorism against Americans are imminent is up 3% from last year, according to a new poll released this week. In the wake of attacks in San Bernardino, Orlando, Paris, and London, the Pew Research Center found that 63% of Americans think major terrorist attacks are likely to occur soon on American soil. Government officials have echoed these concerns. “We are issuing a new advisory that the terror threat is now elevated across the country,” said Undersecretary for Homeland Security Stephen Krause. “We have to remain vigilant and we have to stay alert. Terrorists can strike anytime, anywhere.”


Taking a Closer Look at the Terror Threat</u>
[SPACE]
Does terrorism really pose a critical threat to us? Below is a figure showing the average American’s risk of death from different sources. Please take a minute to study it closely.
[SPACE]
Threat	Period	Annual Deaths	Annual Risk
Cancer	2009	560,000	1 in 540
Traffic Accidents	2008	34,017	1 in 8,000
Homicide	2006	14,180	1 in 22,000
Natural Disasters	1999-2008	629	1 in 480,000
Home Appliances	Yearly Average	200	1 in 1,500,000
Commercial Aviation	1989-2007	103	1 in 2,900,000
Terrorism	1970-2007	87	1 in 3,500,000
Lightning	2008	42	1 in 7,000,000
Source: Mueller and Stewart 2015
[SPACE]
As can be seen, around 90 Americans are killed each year by terrorism on U.S. soil. This means the risk of being a victim of terrorism in a given year is about 1 in 3.5 million. In comparison, the risk of being killed by cancer is 1 in 540, the risk of being killed in a car accident is 1 in 8,000, and the chance of being killed by your own home appliances is 1 in 1.5 million. These numbers provide some essential context when thinking about the different threats to our public safety.
[SPACE]
Indeed, these facts have been noted by officials. For example, Republican Congressman John Baker stated recently: “The truth is that you are far more likely to be killed by routine, mundane dangers than you are by a terrorist attack. We as Americans need to take a closer look at the risks and choices we face.”
",,0,0,Study has table that may need formatting for gpt to read
Silverman1035,Can Factual Misperceptions be Corrected? An Experiment on American Public Fears of Terrorism,P_TESS031,5,"Treatment 4: Corrective Information, Military Endorsement","New Poll Finds Rising Fears of Terrorism Nationwide</u>
[SPACE]
The number of people who say that acts of terrorism against Americans are imminent is up 3% from last year, according to a new poll released this week. In the wake of attacks in San Bernardino, Orlando, Paris, and London, the Pew Research Center found that 63% of Americans think major terrorist attacks are likely to occur soon on American soil. Government officials have echoed these concerns. “We are issuing a new advisory that the terror threat is now elevated across the country,” said Undersecretary for Homeland Security Stephen Krause. “We have to remain vigilant and we have to stay alert. Terrorists can strike anytime, anywhere.”

Taking a Closer Look at the Terror Threat</u>
[SPACE]
Does terrorism really pose a critical threat to us? Below is a figure showing the average American’s risk of death from different sources. Please take a minute to study it closely.
[SPACE]
Threat	Period	Annual Deaths	Annual Risk
Cancer	2009	560,000	1 in 540
Traffic Accidents	2008	34,017	1 in 8,000
Homicide	2006	14,180	1 in 22,000
Natural Disasters	1999-2008	629	1 in 480,000
Home Appliances	Yearly Average	200	1 in 1,500,000
Commercial Aviation	1989-2007	103	1 in 2,900,000
Terrorism	1970-2007	87	1 in 3,500,000
Lightning	2008	42	1 in 7,000,000
Source: Mueller and Stewart 2015
[SPACE]
As can be seen, around 90 Americans are killed each year by terrorism on U.S. soil. This means the risk of being a victim of terrorism in a given year is about 1 in 3.5 million. In comparison, the risk of being killed by cancer is 1 in 540, the risk of being killed in a car accident is 1 in 8,000, and the chance of being killed by your own home appliances is 1 in 1.5 million. These numbers provide some essential context when thinking about the different threats to our public safety.
[SPACE]
Indeed, these facts have been noted by officials. For example, four-star Army General John Baker stated recently: “The truth is that you are far more likely to be killed by routine, mundane dangers than you are by a terrorist attack. We as Americans need to take a closer look at the risks and choices we face.”

",,0,0,Study has table that may need formatting for gpt to read
HankinsonS22,Burden Sharing and Collective Action: A Study of Opinion on Opioid Treatment Funding,P_DISTANCE,1,Near Treatment,"Medication-assisted treatment clinics provide help for people with substance abuse problems. They do this by providing needed medication (such as methadone) and follow-up that can keep them off dangerous opioids and prevent deadly overdoses.

Would you support the opening of a new medication-assisted treatment clinic for opioid addiction a ¼ mile (5 minute walk) from your home?
",,0,2,The outcome variable's wording varies by condition but otherwise ok
HankinsonS22,Burden Sharing and Collective Action: A Study of Opinion on Opioid Treatment Funding,P_DISTANCE,2,Far Treatment,"Medication-assisted treatment clinics provide help for people with substance abuse problems. They do this by providing needed medication (such as methadone) and follow-up that can keep them off dangerous opioids and prevent deadly overdoses

Would you support the opening of a new medication-assisted treatment clinic for opioid addiction 2 miles (40 minute walk) from your home?
",,0,2,The outcome variable's wording varies by condition but otherwise ok
Harbridge-Yong1032,You Can't Always Get What You Want: How Majority-Party Agenda-Setting and Ignored Alternatives Shape Public Attitudes,DOV_VIG,1,Dem Majority - Control,"After months of negotiation, Congress passed an energy bill. The bill passed through Congress on a mostly party-line vote, with support coming from Democrats and opposition from Republicans.

The bill would increase energy production through expansion of renewable energy sources like wind and solar “farms,” as well as modernize our energy infrastructure to better accommodate wind and solar power. 

When bringing this bill up for a vote, congressional leaders from the Democratic majority knew that they were unlikely to attract much Republican support.
","We would like you to read a brief news story from a few years ago about Congress. Please be sure to read the ENTIRE ARTICLE before continuing with the survey</u>. After you read the article, we will ask you several questions about what you read.

Please click the ‘Continue’ button below to read the story.

",0,0,
Harbridge-Yong1032,You Can't Always Get What You Want: How Majority-Party Agenda-Setting and Ignored Alternatives Shape Public Attitudes,DOV_VIG,2,Dem Majority -Bipartisan,"After months of negotiation, Congress passed an energy bill. The bill passed through Congress on a mostly party-line vote, with support coming from Democrats and opposition from Republicans.

The bill would increase energy production through expansion of renewable energy sources like wind and solar “farms,” as well as modernize our energy infrastructure to better accommodate wind and solar power. 

When bringing this bill up for a vote, congressional leaders from the Democratic majority knew that they were unlikely to attract much Republican support.

An alternative bill, proposed by House Democrats and Republicans and with broad bipartisan support among members in both chambers, died in committee and was not brought up for floor consideration or a vote.

A core difference between the bipartisan bill and the bill the majority party pursued was that the bipartisan bill would have made pipeline approvals easier for oil and liquefied natural gas, as well as modernized our energy infrastructure to better accommodate oil and liquefied natural gas. 

One representative seemed resigned to the fact that the Democratic Party would not bring the bipartisan proposal to the floor for consideration. “The majority party controls the agenda and determines which bills receive votes and which bills die. When they can get things done with votes from only their side of the aisle, they choose to ignore alternative proposals.”
","We would like you to read a brief news story from a few years ago about Congress. Please be sure to read the ENTIRE ARTICLE before continuing with the survey</u>. After you read the article, we will ask you several questions about what you read.

Please click the ‘Continue’ button below to read the story.

",0,0,
Harbridge-Yong1032,You Can't Always Get What You Want: How Majority-Party Agenda-Setting and Ignored Alternatives Shape Public Attitudes,DOV_VIG,3,Dem Majority -Minority,"After months of negotiation, Congress passed an energy bill. The bill passed through Congress on a mostly party-line vote, with support coming from Democrats and opposition from Republicans. 

The bill would increase energy production through expansion of renewable energy sources like wind and solar “farms,” as well as modernize our energy infrastructure to better accommodate wind and solar power. 

When bringing this bill up for a vote, congressional leaders from the Democratic majority knew that they were unlikely to attract much Republican support.

An alternative bill, proposed by House Republicans and with broad support among Republicans in both chambers, died in committee and was not brought up for floor consideration or a vote.

A core difference between the Republican bill and the bill the majority party pursued was that the Republican bill would have made pipeline approvals easier for oil and liquefied natural gas, as well as modernized our energy infrastructure to better accommodate oil and liquefied natural gas. 

One Republican seemed resigned to the fact that the Democratic Party would not bring the Republican proposal to the floor for consideration. “The majority party controls the agenda and determines which bills receive votes and which bills die. When they can get things done with votes from only their side of the aisle, they choose to ignore alternative proposals.”
","We would like you to read a brief news story from a few years ago about Congress. Please be sure to read the ENTIRE ARTICLE before continuing with the survey</u>. After you read the article, we will ask you several questions about what you read.

Please click the ‘Continue’ button below to read the story.

",0,0,
Harbridge-Yong1032,You Can't Always Get What You Want: How Majority-Party Agenda-Setting and Ignored Alternatives Shape Public Attitudes,DOV_VIG,4,GOP Majority - Control,"After months of negotiation, Congress passed an energy bill. The bill passed through Congress on a mostly party-line vote, with support coming from Republicans and opposition from Democrats. 

The bill would make pipeline approvals easier for oil and liquefied natural gas, as well as modernize our energy infrastructure to better accommodate oil and liquefied natural gas.

When bringing this bill up for a vote, congressional leaders from the Republican majority knew that they were unlikely to attract much Democratic support.
","We would like you to read a brief news story from a few years ago about Congress. Please be sure to read the ENTIRE ARTICLE before continuing with the survey</u>. After you read the article, we will ask you several questions about what you read.

Please click the ‘Continue’ button below to read the story.

",0,0,
Harbridge-Yong1032,You Can't Always Get What You Want: How Majority-Party Agenda-Setting and Ignored Alternatives Shape Public Attitudes,DOV_VIG,5,GOP Majority -Bipartisan Green Energy,"After months of negotiation, Congress passed an energy bill. The bill passed through Congress on a mostly party-line vote, with support coming from Republicans and opposition from Democrats. 

The bill would make pipeline approvals easier for oil and liquefied natural gas, as well as modernize our energy infrastructure to better accommodate oil and liquefied natural gas.

When bringing this bill up for a vote, congressional leaders from the Republican majority knew that they were unlikely to attract much Democratic support.

An alternative bill, proposed by House Democrats and Republicans and with broad bipartisan support among members in both chambers, died in committee and was not brought up for floor consideration or a vote.

A core difference between the bipartisan bill and the bill the majority party pursued was that the bipartisan bill would have increased energy production through expansion of renewable energy sources like wind and solar “farms,” as well as modernized our energy infrastructure to better accommodate wind and solar power. 

One representative seemed resigned to the fact that the Party would not bring the bipartisan proposal to the floor for consideration. “The majority party controls the agenda and determines which bills receive votes and which bills die. When they can get things done with votes from only their side of the aisle, they choose to ignore alternative proposals.”
","We would like you to read a brief news story from a few years ago about Congress. Please be sure to read the ENTIRE ARTICLE before continuing with the survey</u>. After you read the article, we will ask you several questions about what you read.

Please click the ‘Continue’ button below to read the story.

",0,0,
Harbridge-Yong1032,You Can't Always Get What You Want: How Majority-Party Agenda-Setting and Ignored Alternatives Shape Public Attitudes,DOV_VIG,6,GOP Majority -Bipartisan Gas Tax,"After months of negotiation, Congress passed an energy bill. The bill passed through Congress on a mostly party-line vote, with support coming from Republicans and opposition from Democrats. 

The bill would make pipeline approvals easier for oil and liquefied natural gas, as well as modernize our energy infrastructure to better accommodate oil and liquefied natural gas.

When bringing this bill up for a vote, congressional leaders from the Republican majority knew that they were unlikely to attract much Democratic support.

An alternative bill, proposed by House Democrats and Republicans and with broad bipartisan support among members in both chambers, died in committee and was not brought up for floor consideration or a vote.

A core difference between the bipartisan bill and the bill the majority party pursued was that the bipartisan bill would have increased the federal gas tax by 15 cents per gallon. 

One representative seemed resigned to the fact that the Republican Party would not bring the bipartisan proposal to the floor for consideration. “The majority party controls the agenda and determines which bills receive votes and which bills die. When they can get things done with votes from only their side of the aisle, they choose to ignore alternative proposals.”

","We would like you to read a brief news story from a few years ago about Congress. Please be sure to read the ENTIRE ARTICLE before continuing with the survey</u>. After you read the article, we will ask you several questions about what you read.

Please click the ‘Continue’ button below to read the story.

",0,0,
Harbridge-Yong1032,You Can't Always Get What You Want: How Majority-Party Agenda-Setting and Ignored Alternatives Shape Public Attitudes,DOV_VIG,7,GOP Majority -Minority Green Energy,"After months of negotiation, Congress passed an energy bill. The bill passed through Congress on a mostly party-line vote, with support coming from Republicans and opposition from Democrats. 

The bill would make pipeline approvals easier for oil and liquefied natural gas, as well as modernize our energy infrastructure to better accommodate oil and liquefied natural gas.

When bringing this bill up for a vote, congressional leaders from the Republican majority knew that they were unlikely to attract much Democratic support.

An alternative bill, proposed by House Democrats and with broad support among Democrats in both chambers, died in committee and was not brought up for floor consideration or a vote.

A core difference between the Democratic bill and the bill the majority party pursued was that the Democratic bill would have increased energy production through expansion of renewable energy sources like wind and solar “farms,” as well as modernized our energy infrastructure to better accommodate wind and solar power. 

One Democrat seemed resigned to the fact that the Republican Party would not bring the Democratic proposal to the floor for consideration. “The majority party controls the agenda and determines which bills receive votes and which bills die. When they can get things done with votes from only their side of the aisle, they choose to ignore alternative proposals.”
","We would like you to read a brief news story from a few years ago about Congress. Please be sure to read the ENTIRE ARTICLE before continuing with the survey</u>. After you read the article, we will ask you several questions about what you read.

Please click the ‘Continue’ button below to read the story.

",0,0,
Harbridge-Yong1032,You Can't Always Get What You Want: How Majority-Party Agenda-Setting and Ignored Alternatives Shape Public Attitudes,DOV_VIG,8,GOP Majority -Minority Gas Tax,"After months of negotiation, Congress passed an energy bill. The bill passed through Congress on a mostly party-line vote, with support coming from Republicans and opposition from Democrats. 

The bill would make pipeline approvals easier for oil and liquefied natural gas, as well as modernize our energy infrastructure to better accommodate oil and liquefied natural gas.

When bringing this bill up for a vote, congressional leaders from the Republican majority knew that they were unlikely to attract much Democratic support.

An alternative bill, proposed by House Democrats and with broad support among Democrats in both chambers, died in committee and was not brought up for floor consideration or a vote.

A core difference between the Democratic bill and the bill the majority party pursued was that the Democratic bill would have increased the federal gas tax by 15 cents per gallon. 

One Democrat seemed resigned to the fact that the Republican Party would not bring the Democratic proposal to the floor for consideration. “The majority party controls the agenda and determines which bills receive votes and which bills die. When they can get things done with votes from only their side of the aisle, they choose to ignore alternative proposals.”
","We would like you to read a brief news story from a few years ago about Congress. Please be sure to read the ENTIRE ARTICLE before continuing with the survey</u>. After you read the article, we will ask you several questions about what you read.

Please click the ‘Continue’ button below to read the story.

",0,0,
Howat1039,Not all stereotypes are equal: Consequences of partisan stereotypes on polarization,P_EXP29,1,Traits,"One way to understand supporters of the Democratic and Republican parties is in terms of their personality and character traits. We are interested in what traits come to mind when you think of people who typically support the Democratic Party. Picture in your mind the typical supporter of the Democratic Party. In a few sentences, how would you describe this person in terms of their traits?
PARTICIPANT_ANSWERS_QUESTION]

Now we are interested in the personality and character traits that come to mind when you think of people who typically support the Republican Party. Picture in your mind the typical supporter of the Republican Party. In a few sentences, how would you describe this person in terms of their traits?
[PARTICIPANT_ANSWERS_QUESTION]

Now we are interested in whether you think the specific traits below are typical of people who support the Democratic Party. For the list of traits below, please check which traits you think are typical of supporters of the Democratic Party.

RESPONSE OPTIONS:
1.        Caring
2.        Open-minded
3.        Generous
4.        Honest
5.        Patriotic
6.        Individualistic
7.        Hardworking
8.        Idealistic
9.        Selfish
10.        Elitist
11.        Mean
12.        Hypocritical
13.        Prejudiced
14.        Lazy
15.        Rigid
[PARTICIPANT_ANSWERS_QUESTION]

Now we are interested in whether you think the specific traits below are typical of people who support the Republican Party. For the list of traits below, please check which traits you think are typical of supporters of the Republican Party.

RESPONSE OPTIONS:
1.        Caring
2.        Open-minded
3.        Generous
4.        Honest
5.        Patriotic
6.        Individualistic
7.        Hardworking
8.        Idealistic
9.        Selfish
10.        Elitist
11.        Mean
12.        Hypocritical
13.        Prejudiced
14.        Lazy
15.        Rigid
[PARTICIPANT_ANSWERS_QUESTION]",,0,1,"Participants write about Dems and Reps. The study randomizes the order of Dems and Reps, which we are ignoring (using the variable RND_01). We are going with RND_01=0, which means they write about dems first"
Howat1039,Not all stereotypes are equal: Consequences of partisan stereotypes on polarization,P_EXP29,2,Political Issues,"One way to understand supporters of the Democratic and Republican parties is in terms of the political issues they find important. We are interested in what issues come to mind when you think of people who typically support the Democratic Party. Picture in your mind the typical supporter of the Democratic Party. In a few sentences, how would you describe this person in terms of the issues they find important?
PARTICIPANT_ANSWERS_QUESTION]

Now we are interested in the political issues that come to mind when you think of people who typically support the Republican Party. Picture in your mind the typical supporter of the Republican Party. In a few sentences, how would you describe this person in terms of the issues they find important?
[PARTICIPANT_ANSWERS_QUESTION]

Now we are interested in whether you think the specific issues below are typical of people who support the Democratic Party. For the list of issues below, please check which issues you think are typically important to supporters of the Democratic Party.

RESPONSE OPTIONS:
1.        Environment
2.        Education
3.        Healthcare
4.        Social Security
5.        LGBT rights
6.        Racial equality
7.        Taxes
8.        National security
9.        Budget deficit
10.        Crime
11.        Business regulations
12.        Foreign affairs
13.        Guns
14.        Immigration
15.        Abortion
[PARTICIPANT_ANSWERS_QUESTION]

Now we are interested in whether you think the specific issues below are typical of people who support the Republican Party. For the list of issues below, please check which issues you think are typically important to supporters of the Republican Party.

RESPONSE OPTIONS:
1.        Environment
2.        Education
3.        Healthcare
4.        Social Security
5.        LGBT rights
6.        Racial equality
7.        Taxes
8.        National security
9.        Budget deficit
10.        Crime
11.        Business regulations
12.        Foreign affairs
13.        Guns
14.        Immigration
15.        Abortion
[PARTICIPANT_ANSWERS_QUESTION]",,0,1,"Participants write about Dems and Reps. The study randomizes the order of Dems and Reps, which we are ignoring (using the variable RND_01). We are going with RND_01=0, which means they write about dems first"
Howat1039,Not all stereotypes are equal: Consequences of partisan stereotypes on polarization,P_EXP29,3,Social Groups,"One way to understand supporters of the Democratic and Republican parties is in terms of the social groups they belong to. We are interested in what groups come to mind when you think of people who typically support the Democratic Party. Picture in your mind the typical supporter of the Democratic Party. In a few sentences, how would you describe this person in terms of the groups they belong to?
PARTICIPANT_ANSWERS_QUESTION]

Now we are interested in the social groups that come to mind when you think of people who typically support the Republican Party. Picture in your mind the typical supporter of the Republican Party. In a few sentences, how would you describe this person in terms of the groups they belong to?
[PARTICIPANT_ANSWERS_QUESTION]

Now we are interested in whether you think belonging to the specific groups below is typical of people who support the Democratic Party. For the list of groups below, please check which groups you think are typical of supporters of the Democratic Party.

RESPONSE OPTIONS:
1.        African-Americans
2.        Women
3.        The poor
4.        Latinos / Hispanics
5.        The middle class
6.        LGBT
7.        Immigrants
8.        Blue collar workers
9.        Gun owners
10.        Men
11.        Christians
12.        Senior citizens
13.        Whites
14.        The wealthy
15.        Young people
PARTICIPANT_ANSWERS_QUESTION]
",,0,1,"Participants write about Dems and Reps. The study randomizes the order of Dems and Reps, which we are ignoring (using the variable RND_01). We are going with RND_01=0, which means they write about dems first.
manipulation is a question"
Howat1039,Not all stereotypes are equal: Consequences of partisan stereotypes on polarization,P_EXP29,4,Control,,,0,0,
Kennedy1017,Accidental Environmentalists: Examining the Effect of Income on Positive Social Evaluations of Environmentally-Friendly Lifestyles,P_TESS23,1,Not Green; Low,"A family with two children lives in a neighborhood nearby to yours. You chat with them sometimes when you see them in the neighborhood. As far as you can tell, they make very little money</u> and seem to have <u>no extra money</u> to spend. Their house is pretty big and they drive a <u>reliable car</u>. They also use their washer and dryer frequently</u> and keep their home at a <u>comfortable temperature.

This family has about the <u>same environmental impact</u> as other people in their neighborhood.
",We are going to give you some information about a family. Please read the information very carefully as we will be asking you questions about it.,0,0,
Kennedy1017,Accidental Environmentalists: Examining the Effect of Income on Positive Social Evaluations of Environmentally-Friendly Lifestyles,P_TESS23,2,Green; Low,"A family with two children lives in a neighborhood nearby to yours. You chat with them sometimes when you see them in the neighborhood. As far as you can tell, they make <u>very little money</u> and seem to have <u>no extra money</u> to spend. Their house is <u>small</u> and they often take <u>public transit or walk</u> to avoid driving. They also dry their clothes on a <u>clothesline</u> and <u>don’t have air conditioning</u> in their home. 

This family has a <u>much lower environmental impact</u> than other people in their neighborhood.

",We are going to give you some information about a family. Please read the information very carefully as we will be asking you questions about it.,0,0,
Kennedy1017,Accidental Environmentalists: Examining the Effect of Income on Positive Social Evaluations of Environmentally-Friendly Lifestyles,P_TESS23,3,Not Green; High,"A family with two children lives in a neighborhood nearby to yours. You chat with them sometimes when you see them in the neighborhood. As far as you can tell, they make a <u>lot of money</u> and seem to have <u>plenty of extra money</u> to spend. Their house is <u> pretty big</u> and they drive a <u>reliable car</u>. They also use their <u>washer and dryer frequently</u> and keep their home at a <u>comfortable temperature</u>.

This family has about the <u>same environmental impact</u> as other people in their neighborhood.
",We are going to give you some information about a family. Please read the information very carefully as we will be asking you questions about it.,0,0,
Kennedy1017,Accidental Environmentalists: Examining the Effect of Income on Positive Social Evaluations of Environmentally-Friendly Lifestyles,P_TESS23,4,Green; High,"A family with two children lives in a neighborhood nearby to yours. You chat with them sometimes when you see them in the neighborhood. As far as you can tell, they make a <u>lot of money</u> and seem to have <u>plenty of extra money</u> to spend. Their house is <u>small and they often take <u>public transit or walk</u> to avoid driving. They also dry their clothes on a <u>clothesline</u> and <u>don’t have air conditioning</u> in their home. 

This family has a <u>much lower environmental impact</u> than other people in their neighborhood.
",We are going to give you some information about a family. Please read the information very carefully as we will be asking you questions about it.,0,0,
McCabeS19,Public Opinion and Attributions for Health Care Costs,EXPM,1,CONTROL,,,0,0,
McCabeS19,Public Opinion and Attributions for Health Care Costs,EXPM,2,INSURANCE,"Please read about an unexpected cost that some people experience with their health care: 

You were surprised to find out that your insurance plan would not pay any part of a medical bill for care you received to treat an illness, injury, or other medical event.

Have you had this experience?

RESPONSE OPTIONS:
1.        Yes 
2.        No, but I have heard about people with this experience
3.        No, and I have not heard about people with this experience
PARTICIPANT_ANSWERS_QUESTION]
",,0,1,
McCabeS19,Public Opinion and Attributions for Health Care Costs,EXPM,3,PROVIDER,"Please read about an unexpected cost that some people experience with their health care: 

You were surprised to find out that your hospital, clinic, or other health care provider charged you more than you expected in a medical bill for care you received to treat an illness, injury or other medical event.  

Have you had this experience?

RESPONSE OPTIONS:
1.        Yes 
2.        No, but I have heard about people with this experience
3.        No, and I have not heard about people with this experience
PARTICIPANT_ANSWERS_QUESTION]
",,0,1,
McCabeS19,Public Opinion and Attributions for Health Care Costs,EXPM,4,INSURANCE+GOVERNMENT CUE,"One way to understand supporters of the Democratic and Republican parties is in terms of their personality and character traits. We are interested in what traits come to mind when you think of people who typically support the Democratic Party. Picture in your mind the typical supporter of the Democratic Party. In a few sentences, how would you describe this person in terms of their traits?
[PARTICIPANT_ANSWERS_QUESTION]

Now we are interested in the personality and character traits that come to mind when you think of people who typically support the Republican Party. Picture in your mind the typical supporter of the Republican Party. In a few sentences, how would you describe this person in terms of their traits?
[PARTICIPANT_ANSWERS_QUESTION]

Now we are interested in whether you think the specific traits below are typical of people who support the Democratic Party. For the list of traits below, please check which traits you think are typical of supporters of the Democratic Party.

RESPONSE OPTIONS:
1.        Caring
2.        Open-minded
3.        Generous
4.        Honest
5.        Patriotic
6.        Individualistic
7.        Hardworking
8.        Idealistic
9.        Selfish
10.        Elitist
11.        Mean
12.        Hypocritical
13.        Prejudiced
14.        Lazy
15.        Rigid
[PARTICIPANT_ANSWERS_QUESTION]

Now we are interested in whether you think the specific traits below are typical of people who support the Republican Party. For the list of traits below, please check which traits you think are typical of supporters of the Republican Party.

RESPONSE OPTIONS:
1.        Caring
2.        Open-minded
3.        Generous
4.        Honest
5.        Patriotic
6.        Individualistic
7.        Hardworking
8.        Idealistic
9.        Selfish
10.        Elitist
11.        Mean
12.        Hypocritical
13.        Prejudiced
14.        Lazy
15.        Rigid
[PARTICIPANT_ANSWERS_QUESTION]",,0,1,
McCabeS19,Public Opinion and Attributions for Health Care Costs,EXPM,5,PROVIDER+GOVERNMENT CUE,"Some people want Democrats and Republicans in government to address the costs of health care. Please read about an unexpected cost that some people experience with their health care: 

You were surprised to find out that your hospital, clinic, or other health care provider charged you more than you expected in a medical bill for care you received to treat an illness, injury or other medical event. 

Have you had this experience?

RESPONSE OPTIONS:
1.        Yes 
2.        No, but I have heard about people with this experience
3.        No, and I have not heard about people with this experience
[PARTICIPANT_ANSWERS_QUESTION]
",,0,1,
MunschS68,Gender and the Disparate Payoffs of Overwork,"P_MUNSCHEXP1,P_MUNSCHEXP2,P_MUNSCHEXP3","1,2,1",40 hours/male/1%,"Hi A.J.,  

Sure. Mr. Morgan was employed by Highland Strategies as an Associate Project Manager from 2016 to 2019. From 2017 to 2019, I was his direct supervisor. In this role, he was the primary contact between vendors and staff and oversaw project costs and schedule. This is a salaried, full-time, 40 hour/week position and Mr. Morgan worked standard business hours (M-F, 9am-5pm). Highland keeps monthly performance data (e.g., budget and schedule variance, stakeholder acceptance and feedback) and conducts quarterly performance reviews for all employees. In looking at the data, Mr. Morgan consistently performed in the top 1% of employees in similar positions. Let me know if you have any additional questions.   
   
Taylor

On Wed, Nov 25, 2020 at 10:33 AM Turner, Adam <aj.turner@diversified.com> wrote:

> Dear Mr. Welch,

> We are considering Jason Morgan for a project manager position and he listed you as a professional 
> reference. Any information you can provide would be greatly appreciated. Thanks, in advance. 

> Sincerely,
> A.J. Turner
> Diversified Project Management

On the following scale, how committed do you think Mr. Morgan is to his work?
","Professional reference inquires (or ""reference checks"") are a standard component of most hiring processes. The amount and quality of information obtained during these checks, however, widely varies.  This study examines how information gleaned through this process is perceived by potential employers, co-workers, and clients. Review the email exchange on the following screen concerning a job applicant for a project manager position and answer the questions that follow.",0,2,"The study had too many conditions (2x2x8), but we wanted to include just 12 of them.  There are 3 variables: 2(40 vs 50+ hours per week) X 2(male vs female) X (1%, 5%, 10%, 20%...60%). we kept only 3 levels of the 3rd variable (1%, 20%, 60%), which should give us a 2x2x3 design and 12 conditions in total"
MunschS68,Gender and the Disparate Payoffs of Overwork,"P_MUNSCHEXP1,P_MUNSCHEXP2,P_MUNSCHEXP3","1,1,1",40 hours/female/1%,"Hi A.J.,  

Sure. Ms. Morgan was employed by Highland Strategies as an Associate Project Manager from 2016 to 2019. From 2017 to 2019, I was her direct supervisor. In this role, she was the primary contact between vendors and staff and oversaw project costs and schedule. This is a salaried, full-time, 40 hour/week position and Ms. Morgan worked standard business hours (M-F, 9am-5pm). Highland keeps monthly performance data (e.g., budget and schedule variance, stakeholder acceptance and feedback) and conducts quarterly performance reviews for all employees. In looking at the data, Ms. Morgan consistently performed in the top 1% of employees in similar positions. Let me know if you have any additional questions.   
   
Taylor

On Wed, Nov 25, 2020 at 10:33 AM Turner, Adam <aj.turner@diversified.com> wrote:

> Dear Mr. Welch,

> We are considering Amy Morgan for a project manager position and she listed you as a professional 
> reference. Any information you can provide would be greatly appreciated. Thanks, in advance. 

> Sincerely,
> A.J. Turner
> Diversified Project Management

On the following scale, how committed do you think Ms. Morgan is to her work?
","Professional reference inquires (or ""reference checks"") are a standard component of most hiring processes. The amount and quality of information obtained during these checks, however, widely varies.  This study examines how information gleaned through this process is perceived by potential employers, co-workers, and clients. Review the email exchange on the following screen concerning a job applicant for a project manager position and answer the questions that follow.",0,2,"The study had too many conditions (2x2x8), but we wanted to include just 12 of them.  There are 3 variables: 2(40 vs 50+ hours per week) X 2(male vs female) X (1%, 5%, 10%, 20%...60%). we kept only 3 levels of the 3rd variable (1%, 20%, 60%), which should give us a 2x2x3 design and 12 conditions in total"
MunschS68,Gender and the Disparate Payoffs of Overwork,"P_MUNSCHEXP1,P_MUNSCHEXP2,P_MUNSCHEXP3","1,2,4",40 hours/male/20%,"Hi A.J.,  

Sure. Mr. Morgan was employed by Highland Strategies as an Associate Project Manager from 2016 to 2019. From 2017 to 2019, I was his direct supervisor. In this role, he was the primary contact between vendors and staff and oversaw project costs and schedule. This is a salaried, full-time, 40 hour/week position and Mr. Morgan worked standard business hours (M-F, 9am-5pm). Highland keeps monthly performance data (e.g., budget and schedule variance, stakeholder acceptance and feedback) and conducts quarterly performance reviews for all employees. In looking at the data, Mr. Morgan consistently performed in the top 20% of employees in similar positions. Let me know if you have any additional questions.   
   
Taylor

On Wed, Nov 25, 2020 at 10:33 AM Turner, Adam <aj.turner@diversified.com> wrote:

> Dear Mr. Welch,

> We are considering Jason Morgan for a project manager position and he listed you as a professional 
> reference. Any information you can provide would be greatly appreciated. Thanks, in advance. 

> Sincerely,
> A.J. Turner
> Diversified Project Management

On the following scale, how committed do you think Mr. Morgan is to his work?

","Professional reference inquires (or ""reference checks"") are a standard component of most hiring processes. The amount and quality of information obtained during these checks, however, widely varies.  This study examines how information gleaned through this process is perceived by potential employers, co-workers, and clients. Review the email exchange on the following screen concerning a job applicant for a project manager position and answer the questions that follow.",0,2,"The study had too many conditions (2x2x8), but we wanted to include just 12 of them.  There are 3 variables: 2(40 vs 50+ hours per week) X 2(male vs female) X (1%, 5%, 10%, 20%...60%). we kept only 3 levels of the 3rd variable (1%, 20%, 60%), which should give us a 2x2x3 design and 12 conditions in total"
